Code,ID,Name,Address,Province,Price,Area,Beds,Bedrooms,Bathrooms,MaxGuests,Facilities,Landmark,Transport,Essential,Rating
"P0",1,"Nagawari Pool Villa 4 Bedrooms By Hello Pattaya","333 Nagawari Pool Villas Pattaya 6 Na Jomtien 6, Na Jomtien Subdistrict, Sattahip District, ChonburiPattaya","Pattaya",21079.00,300.00,5,4,3,10,"Free Wifi, Swimming Pool, Free Parking, Balcony & Terrace, Garden","Jomtien Beach (400 m), Pattaya Floating Market (1.3 km), Walking Street Pattaya (8.3 km)","U-Tapao International Airport (22.7 km), Pattaya Bus Station (11 km), Huai Khwang Railway (5 km)","ATM (320 m), Erawadee 2 (1.4 km), 7 Eleven (2.1 km)",9.1
"P1",2,"Angels Park Pool Villa","No. 3, 88 Pong, Bang Lamung, Mabprachan Reservoir, Pattaya, Thailand, 20150","Pattaya",5646.00,400.00,5,4,5,10,"Free Wifi, Swimming Pool, Free Parking, Balcony & Terrace, Smoking Area, Garden","Jomtien Beach (13.3 km), Pattaya Floating Market (12.3 km), Walking Street Pattaya (12.6 km)","U-Tapao International Airport (29.8 km), Roong Reuang Bus Station (7.8 km), Pattaya Railway (8.5 km)ATM (1.2 km), Rehab Scandinavia (1.4 km), 7 Eleven (1.5 km)","ATM (1.2 km), Rehab Scandinavia (1.4 km), 7 Eleven (1.5 km)",9.5
"P2",3,"MasterHome Luxury Pool Villa Pattaya","333 21 Soi Nakhawari Village, Na Chom Thian Subdistrict, Sattahip District, Chonburi 20250","Pattaya",10334.00,500.00,8,4,4,12,"Free Wifi, Swimming Pool, Free Parking, Balcony & Terrace, Garden","Jomtien Beach (370 m), Pattaya Floating Market (1.3 km), Walking Street Pattaya (8.3 km)","U-Tapao International Airport (22.6 km), Roong Reuang Bus Station (3.5 km), Pattaya Railway (4.2 km)ATM (290 m), Erawadee 2 (1.4 km), 7 Eleven (2.1 km)","ATM (290 m), Erawadee 2 (1.4 km), 7 Eleven (2.1 km)",7.5
"P3",4,"Movenpick Pool Villa/PrivatePool","58/22 Moo 2, Na Jomtien Subdistrict, Sattahip District, Chonburi Province 20250, Na Jomtien.","Pattaya",6622.00,200.00,4,3,3,12,"Free Wifi, Swimming Pool, Free Parking, Balcony & Terrace, Garden","Jomtien Beach (150 m), Pattaya Floating Market (3.9 km), Walking Street Pattaya (11.1 km)","U-Tapao International Airport (20 km), Yanasangvararam (3.9 km), Ban Huai Khwang Train Station (1.7 ATM (0 m), D Dent Home (1.6 km), 7 Eleven (500 m)","ATM (0 m), D Dent Home (1.6 km), 7 Eleven (500 m)",8.7
"P4",5,"Bali Pool Villa","391 Soi Thapphraya 15, Phra Tamnak Hill, Pattaya, Thailand, 20150","Pattaya",2685.00,400.00,5,5,5,10,"Free Wifi, Swimming Pool, Free Parking, Balcony & Terrace, Garden","Jomtien Beach (1.5 km), Pattaya Floating Market (5.9 km), Walking Street Pattaya (1.7 km)","U-Tapao International Airport (29.5 km), Pattaya South Bus Station (3.1 km), Pattaya Railway (5.3 kmATM (320 m), Pattaya Dental Clinic (400 m), 7 Eleven (680 m)","ATM (320 m), Pattaya Dental Clinic (400 m), 7 Eleven (680 m)",6.7
"P5",6,"The Pool House Pattaya","77/49 Village No. 1, Nong Pla Lai, Pattaya, Bang Lamung District, Chonburi 20150, Bang La Mung, PattPattaya","Pattaya",10200.00,320.00,8,5,1,14,"Free Wifi, Swimming Pool, Free Parking, Balcony & Terrace, Pets Allowed","Jomtien Beach (12.7 km), Pattaya Floating Market (13.4 km), Walking Street Pattaya (10.2 km)","U-Tapao International Airport (34.4 km), Roong Reuang Bus Station (3.7 km), Bang Lamung Railway (5.3ATM (850 m), Phaet Chawat (4.5 km), 7 Eleven (1.3 km)","ATM (850 m), Phaet Chawat (4.5 km), 7 Eleven (1.3 km)",8.8
"P6",7,"EXOTICA  POOL VILLA ENCORE","418, 17 Soi Korpai 10, Pattaya City, Banglamung District, Chonburi 20150","Pattaya",7000.00,465.00,5,5,5,12,"Free Wifi, Swimmimg Pool, Free Parking, Balcony & Terrace, Smoking Area","Jomtien Beach (2.4 km), Pattaya Floating Market (5.4 km), Walking Street Pattaya (1.9 km)","U-Tapao International Airport (29.1 km), Pattaya South Bus Station (1.9 km), Pattaya Railway (4.3 kmATM (170 m), Pro Care Clinic (1.1 km), Family Mart (250 m)","ATM (170 m), Pro Care Clinic (1.1 km), Family Mart (250 m)",4.4
"P7",8,"Magic Stay Villa1","388 Suksabai 1 Soi 4/1, Muang Pattaya, 388/42, South Pattaya, Pattaya, Thailand, 20150","Pattaya",8700.00,300.00,7,4,4,14,"Free Wifi, Swimming Pool, Free Parking, Balcony & Terrace, Airport Transfer","Jomtien Beach (2.2 km), Pattaya Floating Market (5.4 km), Walking Street Pattaya (1.9 km)","U-Tapao International Airport (29.1 km), Pattaya South Bus Station (2.1 km), Pattaya Railway (4.5 kmATM (400 m), Pro Care Clinic (1.1 km), Family Mart (240 m)","ATM (400 m), Pro Care Clinic (1.1 km), Family Mart (240 m)",2.0
"P8",9,"Play Again Pool Villa Pattaya Beach House","88/9 Bang Lamung District, Chonburi , Thailand, 20150","Pattaya",11700.00,175.00,7,3,3,15,"Free Wifi, Swimming Pool, Free Parking, Balcony & Terrace, Smoking Area, Pets AlloweAVAILABLE","6-04","6-04","6-04",0.0
"2025-05-28",3,"","","",0.00,0.00,892481586,758525997,12592,1983621291,"PÛ","PÛ","PÛ","PÛ",53052354592768.0
"f",4541506,"","","",12.77,0.00,892469350,758525997,13360,3,"","","","",0.0
"",892480821,"AVAILABLE","AVAILABLE","AVAILABLE",0.00,0.00,-1465188352,139490875,1447100635,1095518529,"BLE","BLE","BLE","BLE",0.0
"",875572534,"2025-05-09","2025-05-10","2025-05-12",0.00,0.00,196608,196608,808583168,808269106,"5-13","5-16","5-18","5-20",0.0
"AVAILABLE",14354512,"f","f","f",951543462280484560000000000000000.00,0.00,1229018689,1279410508,6684741,808269106,"6-04","6-04","6-04","6-04",0.0
"2025-05-06",3,"","","",0.00,0.00,892481586,758460461,12337,1983621291,"PÛ","PÛ","PÛ","PÛ",53052354592768.0
"f",4541506,"","","",12.77,0.00,892469350,758525997,13360,3,"","","","",0.0
"",842018102,"AVAILABLE","AVAILABLE","AVAILABLE",0.00,0.00,-1465188352,139490875,1447100635,1095518529,"BLE","BLE","BLE","BLE",0.0
"",875572534,"2025-05-17","2025-05-18","2025-05-20",0.00,0.00,196608,196608,808583168,808269106,"5-21","5-24","5-26","5-28",0.0
"AVAILABLE",14354512,"f","f","f",951543462280484560000000000000000.00,0.00,1229018689,1279410508,6684741,808269106,"6-04","6-04","6-04","6-04",0.0
"Available",3,"","","",0.00,0.00,1767994945,1818386796,101,1983621291,"PÛ","PÛ","PÛ","PÛ",204803.4
